"""call_number""","""unit_id""","""incident_number""","""call_type""","""call_date""","""watch_date""","""received_dttm""","""entry_dttm""","""dispatch_dttm""","""response_dttm""","""on_scene_dttm""","""transport_dttm""","""hospital_dttm""","""call_final_disposition""","""available_dttm""","""address""","""city""","""zipcode_of_incident""","""battalion""","""station_area""","""box""","""original_priority""","""priority""","""final_priority""","""als_unit""","""call_type_group""","""number_of_alarms""","""unit_type""","""unit_sequence_in_call_dispatch""","""fire_prevention_district""","""supervisor_district""","""neighborhoods_analysis_boundaries""","""rowid""","""case_location""","""data_as_of""","""data_loaded_at""",""":@computed_region_ajp5_b2md""" 
"""063130276""","""E01""","""06088441""","""Alarms""","""2006-11-09T00:00:00.000""","""2006-11-09T00:00:00.000""","""2006-11-09T16:03:54.000""","""2006-11-09T16:06:13.000""","""2006-11-09T16:06:33.000""",,"""2006-11-09T16:07:43.000""",,,"""Other""","""2006-11-09T16:10:39.000""","""ELLIS ST/MASON ST""","""SF""","""94102""","""B03""","""01""","""1366""","""3""","""3""","""3""","""true""",,"""1""","""ENGINE""","""1""","""3""","""3""","""Tenderloin""","""063130276-E01""","""POINT (-122.4095 37.785282)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""36"""
"""063240229""","""A202""","""06091494""","""Medical Incident""","""2006-11-20T00:00:00.000""","""2006-11-20T00:00:00.000""","""2006-11-20T14:23:07.000""","""2006-11-20T14:25:45.000""","""2006-11-20T14:27:23.000""",,"""2006-11-20T14:32:00.000""","""2006-11-20T14:49:50.000""","""2006-11-20T14:56:47.000""","""Code 2 Transport""","""2006-11-20T14:56:49.000""","""FUNSTON AVE/LURLINE ST""","""SF""","""94122""","""B08""","""22""","""0735""","""2""","""3""","""3""","""false""",,"""1""","""PRIVATE""","""1""","""8""","""7""","""Inner Sunset""","""063240229-A202""","""POINT (-122.470276 37.759254)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""14"""
"""063270192""","""E41""","""06092299""","""Medical Incident""","""2006-11-23T00:00:00.000""","""2006-11-23T00:00:00.000""","""2006-11-23T13:42:13.000""","""2006-11-23T13:44:49.000""","""2006-11-23T13:45:16.000""","""2006-11-23T13:45:51.000""","""2006-11-23T13:47:25.000""",,,"""Other""","""2006-11-23T14:04:37.000""","""LARKIN ST/PINE ST""","""SF""","""94109""","""B04""","""41""","""1562""","""3""","""3""","""3""","""true""",,"""1""","""ENGINE""","""1""","""4""","""3""","""Nob Hill""","""063270192-E41""","""POINT (-122.418846 37.78983)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""21"""
"""063220299""","""79""","""06090983""","""Medical Incident""","""2006-11-18T00:00:00.000""","""2006-11-18T00:00:00.000""","""2006-11-18T17:36:45.000""","""2006-11-18T17:39:23.000""","""2006-11-18T17:39:56.000""",,"""2006-11-18T17:43:50.000""","""2006-11-18T17:50:45.000""","""2006-11-18T18:09:21.000""","""Code 2 Transport""","""2006-11-18T17:40:01.000""","""GOLDEN GATE AVE/LEAVENWORTH ST""","""SF""","""94102""","""B02""","""01""","""1546""","""3""","""3""","""3""","""true""",,"""1""","""MEDIC""","""1""","""2""","""6""","""Tenderloin""","""063220299-79""","""POINT (-122.413864 37.781864)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""36"""
"""063210072""","""M38""","""06090553""","""Medical Incident""","""2006-11-17T00:00:00.000""","""2006-11-16T00:00:00.000""","""2006-11-17T07:53:34.000""","""2006-11-17T07:55:22.000""","""2006-11-17T07:55:35.000""","""2006-11-17T07:58:54.000""","""2006-11-17T08:02:29.000""","""2006-11-17T08:16:31.000""","""2006-11-17T08:35:20.000""","""Code 2 Transport""","""2006-11-17T09:06:18.000""","""ELLIS ST/LEAVENWORTH ST""","""SF""","""94109""","""B04""","""03""","""1544""","""3""","""3""","""3""","""true""",,"""1""","""MEDIC""","""2""","""2""","""6""","""Tenderloin""","""063210072-M38""","""POINT (-122.41443 37.784657)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""36"""
"""063170395""","""B09""","""06089677""","""Structure Fire / Smoke in Building""","""2006-11-13T00:00:00.000""","""2006-11-13T00:00:00.000""","""2006-11-13T23:29:24.000""","""2006-11-13T23:29:52.000""","""2006-11-13T23:30:30.000""","""2006-11-13T23:32:26.000""",,,,"""Other""","""2006-11-13T23:36:55.000""","""06TH ST/MISSION ST""","""SF""","""94103""","""B03""","""01""","""2251""","""3""","""3""","""3""","""false""",,"""1""","""CHIEF""","""11""","""3""","""6""","""South of Market""","""063170395-B09""","""POINT (-122.40871 37.78097)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""34"""
"""063210256""","""E22""","""06090674""","""Structure Fire / Smoke in Building""","""2006-11-17T00:00:00.000""","""2006-11-17T00:00:00.000""","""2006-11-17T16:25:08.000""","""2006-11-17T16:26:08.000""","""2006-11-17T16:26:20.000""","""2006-11-17T16:26:59.000""",,,,"""Other""","""2006-11-17T16:36:08.000""","""35TH AVE/IRVING ST""","""SF""","""94122""","""B08""","""23""","""7564""","""3""","""3""","""3""","""false""",,"""1""","""ENGINE""","""7""","""8""","""4""","""Sunset/Parkside""","""063210256-E22""","""POINT (-122.49427 37.762806)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""35"""
"""063180012""","""E28""","""06089696""","""Structure Fire / Smoke in Building""","""2006-11-14T00:00:00.000""","""2006-11-13T00:00:00.000""","""2006-11-14T00:34:02.000""","""2006-11-14T00:34:02.000""","""2006-11-14T00:34:21.000""","""2006-11-14T00:36:04.000""",,,,"""Other""","""2006-11-14T00:36:42.000""","""BAY ST/POLK ST""","""SF""","""94109""","""B01""","""28""","""3134""","""3""","""3""","""3""","""true""",,"""1""","""ENGINE""","""2""","""1""","""2""","""Russian Hill""","""063180012-E28""","""POINT (-122.42347 37.804356)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""32"""
"""063250188""","""E10""","""06091762""","""Medical Incident""","""2006-11-21T00:00:00.000""","""2006-11-21T00:00:00.000""","""2006-11-21T12:48:39.000""","""2006-11-21T12:49:46.000""","""2006-11-21T12:50:02.000""","""2006-11-21T12:51:25.000""","""2006-11-21T12:53:33.000""",,,"""Other""","""2006-11-21T13:18:13.000""","""ERKSON CT/POST ST""","""SF""","""94115""","""B05""","""10""","""4155""","""3""","""3""","""3""","""true""",,"""1""","""ENGINE""","""1""","""5""","""5""","""Japantown""","""063250188-E10""","""POINT (-122.44015 37.78426)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""15"""
"""063180292""","""95""","""06089886""","""Medical Incident""","""2006-11-14T00:00:00.000""","""2006-11-14T00:00:00.000""","""2006-11-14T17:13:20.000""","""2006-11-14T17:14:13.000""","""2006-11-14T17:14:30.000""","""2006-11-14T17:16:56.000""","""2006-11-14T17:18:52.000""",,,"""Other""","""2006-11-14T17:55:17.000""","""EDDY ST/LAGUNA ST""","""SF""","""94115""","""B02""","""05""","""3366""","""3""","""3""","""3""","""true""",,"""1""","""MEDIC""","""2""","""2""","""5""","""Western Addition""","""063180292-95""","""POINT (-122.4274 37.78206)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""39"""
"""063290093""","""E41""","""06092776""","""Medical Incident""","""2006-11-25T00:00:00.000""","""2006-11-25T00:00:00.000""","""2006-11-25T08:20:20.000""","""2006-11-25T08:20:20.000""","""2006-11-25T08:20:46.000""","""2006-11-25T08:22:15.000""","""2006-11-25T08:23:53.000""",,,"""Other""","""2006-11-25T08:33:11.000""","""VAN NESS AVE/PACIFIC AVE""","""SF""","""94109""","""B04""","""41""","""3152""","""3""","""3""","""3""","""true""",,"""1""","""ENGINE""","""1""","""4""","""3""","""Russian Hill""","""063290093-E41""","""POINT (-122.423225 37.79482)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""32"""
"""063260172""","""RC4""","""06092027""","""Medical Incident""","""2006-11-22T00:00:00.000""","""2006-11-22T00:00:00.000""","""2006-11-22T13:26:08.000""","""2006-11-22T13:28:07.000""","""2006-11-22T13:28:26.000""",,,,,"""Other""","""2006-11-22T13:30:46.000""","""MCALLISTER ST/BREEN PL""","""SF""","""94102""","""B02""","""03""","""1553""","""E""","""E""","""3""","""true""",,"""1""","""RESCUE CAPTAIN""","""4""","""2""","""6""","""Tenderloin""","""063260172-RC4""","""POINT (-122.41614 37.780617)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""36"""
"""063240249""","""E01""","""06091509""","""Medical Incident""","""2006-11-20T00:00:00.000""","""2006-11-20T00:00:00.000""","""2006-11-20T15:10:03.000""","""2006-11-20T15:11:20.000""","""2006-11-20T15:11:55.000""","""2006-11-20T15:12:02.000""","""2006-11-20T15:14:34.000""",,,"""Other""","""2006-11-20T15:18:46.000""","""JESSIE ST/06TH ST""","""SF""","""94103""","""B03""","""01""","""2251""","""3""","""3""","""3""","""true""",,"""1""","""ENGINE""","""1""","""3""","""6""","""South of Market""","""063240249-E01""","""POINT (-122.40925 37.7814)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""34"""
"""063270306""","""E40""","""06092376""","""Traffic Collision""","""2006-11-23T00:00:00.000""","""2006-11-23T00:00:00.000""","""2006-11-23T18:44:06.000""","""2006-11-23T18:44:12.000""","""2006-11-23T18:46:08.000""","""2006-11-23T18:46:50.000""","""2006-11-23T18:49:02.000""",,,"""SFPD""","""2006-11-23T18:51:40.000""","""ULLOA ST/19TH AVE""","""SF""","""94116""","""B08""","""40""","""7415""","""2""","""2""","""2""","""true""",,"""1""","""ENGINE""","""1""","""8""","""7""","""West of Twin Peaks""","""063270306-E40""","""POINT (-122.47554 37.741188)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""41"""
"""063120336""","""E11""","""06088167""","""Medical Incident""","""2006-11-08T00:00:00.000""","""2006-11-08T00:00:00.000""","""2006-11-08T16:51:02.000""","""2006-11-08T16:52:23.000""","""2006-11-08T16:53:00.000""","""2006-11-08T16:53:51.000""","""2006-11-08T16:56:29.000""",,,"""Other""","""2006-11-08T17:26:33.000""","""23RD ST/MISSION ST""","""SF""","""94110""","""B06""","""11""","""5512""","""3""","""3""","""3""","""true""",,"""1""","""ENGINE""","""1""","""6""","""9""","""Mission""","""063120336-E11""","""POINT (-122.418594 37.753838)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""20"""
"""063250380""","""E26""","""06091903""","""Structure Fire / Smoke in Building""","""2006-11-21T00:00:00.000""","""2006-11-21T00:00:00.000""","""2006-11-21T23:25:29.000""","""2006-11-21T23:25:29.000""","""2006-11-21T23:25:36.000""","""2006-11-21T23:26:25.000""","""2006-11-21T23:28:47.000""",,,"""Fire""","""2006-11-21T23:29:06.000""","""ARLINGTON ST/MIGUEL ST""","""SF""","""94131""","""B06""","""26""","""8133""","""3""","""3""","""3""","""false""",,"""1""","""ENGINE""","""1""","""6""","""8""","""Glen Park""","""063250380-E26""","""POINT (-122.427155 37.736687)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""10"""
"""063170267""","""T03""","""06089566""","""Structure Fire / Smoke in Building""","""2006-11-13T00:00:00.000""","""2006-11-13T00:00:00.000""","""2006-11-13T16:37:51.000""","""2006-11-13T16:37:51.000""","""2006-11-13T16:37:59.000""","""2006-11-13T16:39:50.000""",,,,"""Other""","""2006-11-13T16:40:59.000""","""FRANKLIN ST/MYRTLE ST""","""SF""","""94109""","""B04""","""03""","""3222""","""3""","""3""","""3""","""false""",,"""1""","""TRUCK""","""2""","""4""","""5""","""Western Addition""","""063170267-T03""","""POINT (-122.422935 37.785015)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""39"""
"""063160259""","""T06""","""06089311""","""Structure Fire / Smoke in Building""","""2006-11-12T00:00:00.000""","""2006-11-12T00:00:00.000""","""2006-11-12T16:57:55.000""","""2006-11-12T16:59:46.000""","""2006-11-12T17:00:01.000""","""2006-11-12T17:01:18.000""","""2006-11-12T17:03:28.000""",,,"""Other""","""2006-11-12T17:33:49.000""","""VALENCIA ST/16TH ST""","""SF""","""94103""","""B02""","""06""","""5226""","""3""","""3""","""3""","""false""",,"""1""","""TRUCK""","""4""","""2""","""8""","""Mission""","""063160259-T06""","""POINT (-122.42189 37.76492)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""20"""
"""063180320""","""E21""","""06089907""","""Medical Incident""","""2006-11-14T00:00:00.000""","""2006-11-14T00:00:00.000""","""2006-11-14T18:43:26.000""","""2006-11-14T18:46:21.000""","""2006-11-14T18:48:34.000""","""2006-11-14T18:49:43.000""","""2006-11-14T18:51:18.000""",,,"""Other""","""2006-11-14T18:54:19.000""","""FELL ST/DIVISADERO ST""","""SF""","""94117""","""B05""","""21""","""4145""","""3""","""3""","""3""","""false""",,"""1""","""ENGINE""","""1""","""5""","""5""","""Hayes Valley""","""063180320-E21""","""POINT (-122.43761 37.774063)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""9"""
"""063180331""","""T15""","""06089916""","""Citizen Assist / Service Call""","""2006-11-14T00:00:00.000""","""2006-11-14T00:00:00.000""","""2006-11-14T19:25:02.000""","""2006-11-14T19:28:42.000""","""2006-11-14T19:28:52.000""","""2006-11-14T19:29:52.000""","""2006-11-14T19:36:04.000""",,,"""Other""","""2006-11-14T19:37:08.000""","""TERESITA BLVD/PORTOLA DR""","""SF""","""94127""","""B08""","""39""","""8661""","""3""","""3""","""3""","""false""",,"""1""","""TRUCK""","""2""","""8""","""7""","""West of Twin Peaks""","""063180331-T15""","""POINT (-122.45227 37.745174)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""41"""
"""063170206""","""E21""","""06089516""","""Medical Incident""","""2006-11-13T00:00:00.000""","""2006-11-13T00:00:00.000""","""2006-11-13T13:28:01.000""","""2006-11-13T13:29:41.000""","""2006-11-13T13:30:08.000""",,"""2006-11-13T13:30:35.000""",,,"""Other""","""2006-11-13T13:39:35.000""","""GROVE ST/COLE ST""","""SF""","""94117""","""B05""","""21""","""4535""","""3""","""3""","""3""","""false""",,"""1""","""ENGINE""","""1""","""5""","""5""","""Lone Mountain/USF""","""063170206-E21""","""POINT (-122.451164 37.77425)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""18"""
"""063260186""","""94""","""06092034""","""Medical Incident""","""2006-11-22T00:00:00.000""","""2006-11-22T00:00:00.000""","""2006-11-22T13:58:12.000""","""2006-11-22T13:59:03.000""","""2006-11-22T13:59:10.000""","""2006-11-22T14:02:29.000""","""2006-11-22T14:02:43.000""",,,"""Patient Declined Transport""","""2006-11-22T14:19:19.000""","""POST ST/LARKIN ST""","""SF""","""94109""","""B04""","""03""","""1641""","""3""","""3""","""3""","""true""",,"""1""","""MEDIC""","""2""","""4""","""6""","""Tenderloin""","""063260186-94""","""POINT (-122.418274 37.787037)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""36"""
"""063260049""","""94""","""06091949""","""Medical Incident""","""2006-11-22T00:00:00.000""","""2006-11-21T00:00:00.000""","""2006-11-22T07:20:12.000""","""2006-11-22T07:22:18.000""","""2006-11-22T07:22:43.000""","""2006-11-22T07:23:13.000""","""2006-11-22T07:27:04.000""",,,"""No Merit""","""2006-11-22T07:28:04.000""","""GEARY ST/LEAVENWORTH ST""","""SF""","""94109""","""B01""","""03""","""1462""","""2""","""2""","""2""","""true""",,"""1""","""MEDIC""","""1""","""4""","""6""","""Tenderloin""","""063260049-94""","""POINT (-122.41481 37.78652)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""36"""
"""063200317""","""78""","""06090441""","""Medical Incident""","""2006-11-16T00:00:00.000""","""2006-11-16T00:00:00.000""","""2006-11-16T18:57:11.000""","""2006-11-16T19:00:06.000""","""2006-11-16T19:00:13.000""",,"""2006-11-16T19:04:10.000""","""2006-11-16T19:20:47.000""","""2006-11-16T20:10:06.000""","""Code 2 Transport""","""2006-11-16T20:10:15.000""","""FRANKLIN ST/FULTON ST""","""SF""","""94102""","""B02""","""36""","""3264""","""3""","""3""","""3""","""true""",,"""1""","""MEDIC""","""2""","""2""","""5""","""Hayes Valley""","""063200317-78""","""POINT (-122.42171 37.778957)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""9"""
"""063200300""","""75""","""06090426""","""Medical Incident""","""2006-11-16T00:00:00.000""","""2006-11-16T00:00:00.000""","""2006-11-16T17:57:05.000""","""2006-11-16T17:58:04.000""","""2006-11-16T17:58:23.000""","""2006-11-16T17:59:07.000""","""2006-11-16T18:16:01.000""","""2006-11-16T18:27:04.000""","""2006-11-16T18:55:34.000""","""Code 2 Transport""","""2006-11-16T19:14:30.000""","""LEIDESDORFF ST/CALIFORNIA ST""","""SF""","""94104""","""B01""","""13""","""1234""","""3""","""3""","""3""","""true""",,"""1""","""MEDIC""","""2""","""1""","""3""","""Financial District/South Beach""","""063200300-75""","""POINT (-122.401955 37.792953)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""8"""
"""063130238""","""M18""","""06088409""","""Medical Incident""","""2006-11-09T00:00:00.000""","""2006-11-09T00:00:00.000""","""2006-11-09T14:41:07.000""","""2006-11-09T14:42:42.000""","""2006-11-09T14:43:03.000""","""2006-11-09T14:44:27.000""","""2006-11-09T14:53:23.000""",,,"""Patient Declined Transport""","""2006-11-09T15:01:46.000""","""SANTIAGO ST/14TH AVE""","""SF""","""94116""","""B08""","""40""","""0736""","""1""","""1""","""2""","""true""",,"""1""","""MEDIC""","""1""","""8""","""7""","""West of Twin Peaks""","""063130238-M18""","""POINT (-122.47037 37.74516)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""41"""
"""063180347""","""E22""","""06089930""","""Smoke Investigation (Outside)""","""2006-11-14T00:00:00.000""","""2006-11-14T00:00:00.000""","""2006-11-14T20:34:07.000""","""2006-11-14T20:35:59.000""","""2006-11-14T20:36:08.000""","""2006-11-14T20:37:39.000""","""2006-11-14T20:39:18.000""",,,"""Other""","""2006-11-14T20:42:47.000""","""16TH AVE/JUDAH ST""","""SF""","""94122""","""B08""","""22""","""7371""","""3""","""3""","""3""","""false""",,"""1""","""ENGINE""","""1""","""8""","""5""","""Inner Sunset""","""063180347-E22""","""POINT (-122.473785 37.76184)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""14"""
"""063170399""","""M15""","""06089680""","""Medical Incident""","""2006-11-13T00:00:00.000""","""2006-11-13T00:00:00.000""","""2006-11-13T23:41:51.000""","""2006-11-13T23:45:46.000""","""2006-11-13T23:45:53.000""","""2006-11-13T23:47:27.000""","""2006-11-13T23:53:08.000""","""2006-11-14T00:05:41.000""","""2006-11-14T00:15:54.000""","""Code 2 Transport""","""2006-11-14T00:37:09.000""","""FONT BLVD/CHUMASERO DR""","""SF""","""94132""","""B08""","""33""","""8422""","""1""","""1""","""2""","""true""",,"""1""","""MEDIC""","""1""","""8""","""7""","""Lakeshore""","""063170399-M15""","""POINT (-122.47299 37.71501)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""16"""
"""063150091""","""M39""","""06088914""","""Medical Incident""","""2006-11-11T00:00:00.000""","""2006-11-11T00:00:00.000""","""2006-11-11T08:26:49.000""","""2006-11-11T08:28:15.000""","""2006-11-11T08:28:26.000""","""2006-11-11T08:29:34.000""","""2006-11-11T08:32:06.000""","""2006-11-11T08:58:16.000""","""2006-11-11T09:50:24.000""","""Code 2 Transport""","""2006-11-11T09:50:59.000""","""VASQUEZ AVE/WOODSIDE AVE""","""SF""","""94127""","""B08""","""39""","""0869""","""3""","""3""","""3""","""true""",,"""1""","""MEDIC""","""1""","""8""","""7""","""West of Twin Peaks""","""063150091-M39""","""POINT (-122.45717 37.746696)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""41"""
"""063180342""","""E17""","""06089925""","""Vehicle Fire""","""2006-11-14T00:00:00.000""","""2006-11-14T00:00:00.000""","""2006-11-14T20:10:07.000""","""2006-11-14T20:11:39.000""","""2006-11-14T20:12:40.000""","""2006-11-14T20:13:59.000""",,,,"""Other""","""2006-11-14T20:17:46.000""","""GOULD ST/SALINAS AVE""","""SF""","""94124""","""B10""","""44""","""6544""","""3""","""3""","""3""","""true""",,"""1""","""ENGINE""","""5""","""10""","""10""","""Bayview Hunters Point""","""063180342-E17""","""POINT (-122.39832 37.72114)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""1"""
"""063270016""","""84""","""06092167""","""Medical Incident""","""2006-11-23T00:00:00.000""","""2006-11-22T00:00:00.000""","""2006-11-23T01:46:51.000""","""2006-11-23T01:48:24.000""","""2006-11-23T01:48:39.000""","""2006-11-23T01:49:41.000""","""2006-11-23T01:53:24.000""",,,"""Patient Declined Transport""","""2006-11-23T02:19:10.000""","""MASON ST/DERBY ST""","""SF""","""94102""","""B01""","""03""","""1411""","""3""","""3""","""3""","""true""",,"""1""","""MEDIC""","""2""","""1""","""3""","""Tenderloin""","""063270016-84""","""POINT (-122.40993 37.78743)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""36"""
"""063130115""","""M39""","""06088319""","""Medical Incident""","""2006-11-09T00:00:00.000""","""2006-11-09T00:00:00.000""","""2006-11-09T09:58:39.000""","""2006-11-09T10:00:12.000""","""2006-11-09T10:01:03.000""","""2006-11-09T10:02:40.000""","""2006-11-09T10:18:22.000""","""2006-11-09T10:18:45.000""","""2006-11-09T10:34:48.000""","""Code 2 Transport""","""2006-11-09T10:55:39.000""","""CALL BOX: EVANS AV/MENDELL ST""","""SF""","""94124""","""B10""","""25""","""6464""","""3""","""3""","""3""","""true""",,"""1""","""MEDIC""","""2""","""10""","""10""","""Bayview Hunters Point""","""063130115-M39""","""POINT (-122.384783448 37.740909539)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""1"""
"""063140369""","""T14""","""06088808""","""Alarms""","""2006-11-10T00:00:00.000""","""2006-11-10T00:00:00.000""","""2006-11-10T21:14:27.000""","""2006-11-10T21:15:48.000""","""2006-11-10T21:15:56.000""","""2006-11-10T21:17:39.000""","""2006-11-10T21:19:55.000""",,,"""Other""","""2006-11-10T21:20:53.000""","""LAKE ST/23RD AVE""","""SF""","""94121""","""B07""","""14""","""7174""","""3""","""3""","""3""","""true""",,"""1""","""TRUCK""","""2""","""7""","""1""","""Outer Richmond""","""063140369-T14""","""POINT (-122.483 37.785835)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""29"""
"""063240344""","""E29""","""06091591""","""Medical Incident""","""2006-11-20T00:00:00.000""","""2006-11-20T00:00:00.000""","""2006-11-20T20:04:49.000""","""2006-11-20T20:06:33.000""","""2006-11-20T20:06:46.000""","""2006-11-20T20:07:51.000""",,,,"""Other""","""2006-11-20T20:21:16.000""","""03RD ST/25TH ST""","""SF""","""94107""","""B10""","""25""","""2611""","""3""","""3""","""3""","""true""",,"""1""","""ENGINE""","""3""","""10""","""10""","""Bayview Hunters Point""","""063240344-E29""","""POINT (-122.38776 37.752834)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""1"""
"""063190278""","""E20""","""06090151""","""Citizen Assist / Service Call""","""2006-11-15T00:00:00.000""","""2006-11-15T00:00:00.000""","""2006-11-15T16:23:12.000""","""2006-11-15T16:25:19.000""","""2006-11-15T16:26:09.000""","""2006-11-15T16:27:13.000""","""2006-11-15T16:28:49.000""",,,"""Fire""","""2006-11-15T16:48:43.000""","""PANORAMA DR/MIDCREST WAY""","""SF""","""94131""","""B08""","""20""","""5355""","""3""","""3""","""3""","""false""",,"""1""","""ENGINE""","""1""","""8""","""7""","""Twin Peaks""","""063190278-E20""","""POINT (-122.44983 37.746845)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""38"""
"""063170031""","""E32""","""06089406""","""Medical Incident""","""2006-11-13T00:00:00.000""","""2006-11-12T00:00:00.000""","""2006-11-13T03:43:33.000""","""2006-11-13T03:46:06.000""","""2006-11-13T03:47:14.000""","""2006-11-13T03:49:10.000""","""2006-11-13T03:52:22.000""",,,"""Other""","""2006-11-13T03:56:26.000""","""ANDOVER ST/BENTON AVE""","""SF""","""94110""","""B06""","""32""","""5645""","""3""","""3""","""3""","""false""",,"""1""","""ENGINE""","""1""","""6""","""9""","""Bernal Heights""","""063170031-E32""","""POINT (-122.41691 37.73393)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""2"""
"""063230108""","""B02""","""06091165""","""Alarms""","""2006-11-19T00:00:00.000""","""2006-11-19T00:00:00.000""","""2006-11-19T09:09:56.000""","""2006-11-19T09:10:44.000""","""2006-11-19T09:10:53.000""","""2006-11-19T09:11:40.000""",,,,"""Other""","""2006-11-19T09:25:56.000""","""EDDY ST/LEAVENWORTH ST""","""SF""","""94102""","""B02""","""03""","""1545""","""3""","""3""","""3""","""false""",,"""1""","""CHIEF""","""3""","""2""","""6""","""Tenderloin""","""063230108-B02""","""POINT (-122.41424 37.783722)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""36"""
"""063170074""","""B06""","""06089433""","""Structure Fire / Smoke in Building""","""2006-11-13T00:00:00.000""","""2006-11-12T00:00:00.000""","""2006-11-13T07:30:53.000""","""2006-11-13T07:30:54.000""","""2006-11-13T07:31:08.000""","""2006-11-13T07:31:51.000""",,,,"""Other""","""2006-11-13T07:36:40.000""","""BARTLETT ST/23RD ST""","""SF""","""94110""","""B06""","""11""","""0552""","""3""","""3""","""3""","""false""",,"""1""","""CHIEF""","""2""","""6""","""9""","""Mission""","""063170074-B06""","""POINT (-122.41971 37.75377)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""20"""
"""063190357""","""T16""","""06090218""","""Structure Fire / Smoke in Building""","""2006-11-15T00:00:00.000""","""2006-11-15T00:00:00.000""","""2006-11-15T21:17:12.000""","""2006-11-15T21:17:12.000""","""2006-11-15T21:17:22.000""","""2006-11-15T21:18:45.000""",,,,"""Fire""","""2006-11-15T21:21:42.000""","""VAN NESS AVE/BAY ST""","""SF""","""94109""","""B04""","""28""","""3143""","""3""","""3""","""3""","""false""",,"""1""","""TRUCK""","""2""","""1""","""2""","""Russian Hill""","""063190357-T16""","""POINT (-122.42511 37.804146)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""32"""
"""063140421""","""E42""","""06088850""","""Medical Incident""","""2006-11-10T00:00:00.000""","""2006-11-10T00:00:00.000""","""2006-11-10T23:43:59.000""","""2006-11-10T23:44:23.000""","""2006-11-10T23:44:37.000""","""2006-11-10T23:45:55.000""","""2006-11-10T23:47:24.000""",,,"""Other""","""2006-11-10T23:53:23.000""","""SAN BRUNO AVE/WOOLSEY ST""","""SF""","""94134""","""B10""","""42""","""6327""","""3""","""3""","""3""","""true""",,"""1""","""ENGINE""","""1""","""10""","""9""","""Portola""","""063140421-E42""","""POINT (-122.4026 37.725235)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""25"""
